https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1663718400000,2022-09-21 00:00:00,DOT/USD,6.2843,6.5726,5.9805,6.1415,880702.2727660384,143401.8192243
1663632000000,2022-09-20 00:00:00,DOT/USD,6.387,6.4188,6.1761,6.2844,450015.06868416,71608.27902173
1663545600000,2022-09-19 00:00:00,DOT/USD,6.4484,6.5557,6.11,6.3861,998381.2004126043,156336.60613091
1663459200000,2022-09-18 00:00:00,DOT/USD,7.0595,7.0652,6.299,6.4445,947636.8582112627,147045.83105148
1663372800000,2022-09-17 00:00:00,DOT/USD,6.9105,7.1594,6.9082,7.0655,661004.9961219857,93553.88806482
1663286400000,2022-09-16 00:00:00,DOT/USD,6.9383,6.9766,6.7019,6.9116,754672.7477955221,109189.29738346
1663200000000,2022-09-15 00:00:00,DOT/USD,7.2123,7.2431,6.881,6.9379,561405.2099844661,80918.60793388
1663113600000,2022-09-14 00:00:00,DOT/USD,7.0677,7.3001,7.0219,7.2026,427766.94100861903,59390.62852423
1663027200000,2022-09-13 00:00:00,DOT/USD,7.664,7.972,7.0395,7.0748,999285.2433110845,141245.7233153
1662940800000,2022-09-12 00:00:00,DOT/USD,7.6963,8.0527,7.5676,7.6645,1253165.664651572,163502.59829755
1662854400000,2022-09-11 00:00:00,DOT/USD,7.7839,7.8961,7.543,7.7027,548408.7712684441,71196.95318115
1662768000000,2022-09-10 00:00:00,DOT/USD,7.7642,7.8806,7.5973,7.7736,637659.3128375493,82028.82999351
1662681600000,2022-09-09 00:00:00,DOT/USD,7.3933,7.9427,7.3609,7.7676,1453055.6422399634,187066.2292394
1662595200000,2022-09-08 00:00:00,DOT/USD,7.2012,7.4543,7.0483,7.3898,1179456.4651965636,159606.00627846
1662508800000,2022-09-07 00:00:00,DOT/USD,6.8697,7.3082,6.7507,7.1937,1283682.6243468511,178445.39310047
1662422400000,2022-09-06 00:00:00,DOT/USD,7.3645,7.6921,6.8237,6.8703,1806830.5697019924,262991.5097888
1662336000000,2022-09-05 00:00:00,DOT/USD,7.378,7.6306,7.2671,7.3677,1181481.7223512493,160359.64036962
1662249600000,2022-09-04 00:00:00,DOT/USD,7.288,7.4117,7.1482,7.3736,1099822.2651987262,149156.75724188
1662163200000,2022-09-03 00:00:00,DOT/USD,7.3079,7.3196,7.1794,7.2904,463126.7576767805,63525.56206474
1662076800000,2022-09-02 00:00:00,DOT/USD,7.1839,7.5711,7.1302,7.3077,784057.6969430497,107291.99295853
